Created at,Shop,Product category,Description,Billed amount,Billed currency,Bill number,Bill date,Cycle start,Cycle end,App name
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.57,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.8,USD,387798673,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.53,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.53,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.98,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.57,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:02Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,9.31,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.34,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.21,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798672,2025-07-06,2025-07-06,2025-07-06,
2025-07-04T06:25:29Z,bt1hfe-te.myshopify.com,subscription_fee,Subscription,39.0,USD,386872232,2025-07-04,2025-07-04,2025-08-03,
2025-06-30T17:23:32Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.69,USD,386872232,2025-07-04,2025-06-30,2025-06-30,
2025-06-30T16:07:33Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.85,USD,386872232,2025-07-04,2025-06-30,2025-06-30,
2025-06-30T15:53:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,1.2,USD,386872232,2025-07-04,2025-06-30,2025-06-30,
2025-06-30T15:51:34Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.67,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T15:32:37Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.95,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T15:32:37Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,0.73,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.84,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,5.0,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-30T01:35:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.98,USD,385450248,2025-06-30,2025-06-30,2025-06-30,
2025-06-25T15:56:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.7,USD,385450248,2025-06-30,2025-06-25,2025-06-25,
2025-06-22T22:05:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
2025-06-22T22:05:03Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,382226733,2025-06-22,2025-06-22,2025-06-22,
